idxLoop;idxAnalysis;T;Tabs;B;F;dx;dy;dz;D2;D3
1;1;10.618999999998778;37801.421;5.889;113.73238588454028;4.480379746835443;-0.04924050632911429;-1.4382;4.4806503214730755;4.705809871139799
1;1;10.630999999993946;37801.433;6.097;119.62882185225563;4.482088607594936;-0.04968354430379725;-1.4245999999999999;4.48236396791993;4.7033043597992785
1;1;10.642999999996391;37801.445;6.311;125.51751208431544;4.482151898734178;-0.04974683544303806;-1.4178;4.482427957141419;4.7013101611107295
1;1;10.654999999998836;37801.457;6.525;131.66406615222164;4.480126582278481;-0.04329113924050617;-1.4109999999999998;4.480335736970501;4.697268282307814
1;1;10.666999999994005;37801.469;6.75;137.24069729374867;4.482974683544303;-0.05025316455696183;-1.4109999999999998;4.483256338181784;4.700054084140643
1;1;10.67899999999645;37801.481;6.98;142.9371492487094;4.481772151898733;-0.049936708860759585;-1.4178;4.482050345146387;4.700950131242284
1;1;10.689999999995052;37801.492;7.211;149.83626897876462;4.4818354430379745;-0.054936708860760075;-1.4042;4.482172127490403;4.696982501612269
1;1;10.700999999993655;37801.503;7.45;157.34036037159356;4.481265822784811;-0.05411392405063316;-1.3871999999999998;4.481592539626442;4.6913745886717875
1;1;10.715999999993073;37801.518;7.698;162.12079830556576;4.483987341772151;-0.057974683544303594;-1.4076;4.484362111282378;4.700089499690931
1;1;10.724999999998545;37801.527;7.949;169.6833873436983;4.484050632911392;-0.0608860759493673;-1.394;4.484463980539655;4.69613172651253
1;1;10.736999999993714;37801.539;8.2;176.06896512588136;4.483797468354431;-0.059430379746834995;-1.3974;4.484191310287559;4.69688178127345
1;1;10.748999999996158;37801.551;8.463;183.58207619913924;4.483481012658228;-0.054556962025316125;-1.3905999999999998;4.4838129368844415;4.694501764082348
1;1;10.765999999995984;37801.568;8.73;189.53500123619324;4.483101265822784;-0.05569620253164618;-1.4042;4.483447225807201;4.698199300433974
1;1;10.772999999993772;37801.575;9.001;197.02517798619394;4.482341772151898;-0.05531645569620312;-1.4007999999999998;4.482683088580834;4.696454866454974
1;1;10.78399999999965;37801.586;9.277;205.22197276510803;4.483860759493671;-0.05848101265822736;-1.3871999999999998;4.4842421142673246;4.693905748879997
