 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
519	548	7895.632	185.289	127.452	26.539	26.291	136.221	173
520	532	10982.992	40.869	122.757	26.194	25.859	55.934	174
521	518	11269.730	112.235	122.651	26.287	25.090	45.130	174
522	552	7904.415	185.281	127.495	26.651	26.372	158.441	174
523	533	10941.084	40.844	122.756	26.348	25.757	55.413	175
524	514	11286.671	112.204	122.722	25.995	25.176	48.559	175
525	550	7881.312	185.247	127.479	26.670	26.258	141.258	175
526	537	10983.209	40.868	122.536	26.413	25.886	50.511	176
527	516	11295.881	112.211	122.495	26.044	25.227	39.813	176
528	550	7896.662	185.233	127.272	26.651	26.276	127.707	176
529	535	10947.489	40.877	122.354	26.244	25.956	30.058	177
530	516	11290.318	112.215	122.268	26.021	25.249	52.632	177
531	553	7846.514	185.246	127.031	26.746	26.325	124.620	177
532	537	10967.266	40.850	122.266	26.434	25.866	66.016	178
533	520	11263.796	112.195	122.258	26.090	25.377	51.945	178
534	555	7886.959	185.217	127.008	26.687	26.479	112.202	178
535	538	10933.065	40.854	122.573	26.390	25.957	55.269	179
536	513	11312.858	112.221	122.498	25.977	25.145	44.453	179
537	555	7873.116	185.262	127.141	26.749	26.417	117.609	179
538	533	10997.651	40.889	122.370	26.286	25.818	44.021	180
539	516	11302.821	112.248	122.409	26.017	25.253	52.999	180
540	556	7894.691	185.253	127.076	26.732	26.482	106.315	180
541	537	10957.131	40.921	122.342	26.224	26.073	69.667	181
542	516	11309.635	112.285	122.258	26.058	25.212	55.897	181
543	556	7907.363	185.285	126.890	26.756	26.458	146.854	181
544	537	10974.839	40.920	122.167	26.346	25.952	53.102	182
545	516	11327.100	112.245	122.145	26.026	25.243	61.236	182
546	556	7870.173	185.261	126.773	26.722	26.492	113.726	182
547	536	10981.642	40.902	122.192	26.297	25.952	45.000	183
548	517	11307.630	112.248	122.205	25.964	25.353	52.457	183
549	556	7886.663	185.258	126.814	26.713	26.501	117.479	183
550	539	10933.986	40.908	122.273	26.387	26.008	72.709	184
551	516	11293.892	112.269	122.284	26.121	25.152	46.576	184
552	554	7896.674	185.273	126.837	26.720	26.398	166.615	184
553	539	10953.192	40.930	122.108	26.381	26.014	60.189	185
554	517	11295.977	112.271	122.111	25.964	25.353	52.488	185
555	555	7885.307	185.318	126.657	26.947	26.223	118.230	185
556	536	10977.557	40.960	121.974	26.389	25.861	60.348	186
557	521	11276.278	112.337	121.990	26.248	25.273	58.294	186
558	550	7920.047	185.340	126.508	26.664	26.263	137.378	186
559	534	10960.369	40.913	121.986	26.340	25.813	56.455	187
560	518	11271.896	112.298	121.987	26.102	25.268	48.557	187
561	549	7901.840	185.290	126.472	26.614	26.265	136.846	187
562	537	10909.249	40.900	122.067	26.330	25.968	60.110	188
563	517	11285.090	112.247	122.054	25.989	25.328	46.645	188
564	548	7902.348	185.266	126.488	26.489	26.341	143.482	188
565	532	10954.544	40.897	121.911	26.346	25.710	59.866	189
566	519	11233.487	112.260	121.915	26.189	25.233	44.611	189
567	551	7883.279	185.293	126.326	26.679	26.296	134.788	189
568	536	10910.980	40.907	121.568	26.310	25.939	50.155	190
569	517	11244.073	112.253	121.654	26.132	25.190	31.667	190
570	555	7885.108	185.289	126.078	26.829	26.339	123.457	190
571	536	10952.267	40.959	121.604	26.388	25.863	52.071	191
572	514	11300.528	112.329	121.660	26.012	25.159	41.065	191
573	552	7910.987	185.357	126.016	26.597	26.425	146.255	191
574	531	10970.887	40.970	121.614	26.350	25.658	45.244	192
575	515	11262.961	112.322	121.700	26.003	25.217	42.814	192
576	555	7904.469	185.342	126.058	26.711	26.456	145.850	192
577	529	10983.698	40.964	121.620	26.176	25.732	51.561	193
578	517	11276.827	112.334	121.761	26.062	25.257	50.068	193
579	554	7902.656	185.324	126.035	26.679	26.439	136.822	193
